UserID, TextID, ReadingTime, AnswerTime, TrueOrFalse_1, TrueOrFalse_2, NumberOfTouch, NumberOfRecall, NumberOfRecord, TextViewHeight, LayoutID
1, 3, 64, 16, 0, 1, 22, 0, 22, 1968.000000, 3
1, 6, 98, 11, 1, 1, 36, 0, 36, 2779.000000, 4
1, 2, 68, 8, 1, 1, 18, 0, 18, 1288.500000, 1
1, 5, 89, 9, 1, 1, 24, 0, 24, 2027.000000, 2
1, 1, 95, 8, 1, 1, 27, 0, 27, 4434.500000, 6
1, 4, 94, 10, 1, 1, 26, 0, 26, 2837.500000, 5
2, 2, 92, 15, 1, 0, 11, 0, 11, 2630.000000, 5
2, 4, 150, 22, 1, 1, 25, 7, 25, 1993.500000, 2
2, 6, 168, 25, 0, 0, 24, 2, 24, 1878.500000, 3
2, 5, 93, 9, 1, 1, 51, 3, 38, 4212.500000, 6
2, 1, 148, 23, 0, 1, 15, 0, 15, 1368.000000, 1
2, 3, 72, 11, 1, 1, 17, 0, 17, 2889.500000, 4
3, 2, 69, 12, 1, 1, 9, 0, 8, 1288.500000, 1
3, 4, 77, 12, 0, 1, 12, 0, 12, 1993.500000, 2
3, 3, 60, 10, 1, 1, 10, 0, 10, 1968.000000, 3
3, 6, 98, 22, 1, 0, 27, 0, 27, 4196.500000, 6
3, 1, 84, 12, 0, 1, 19, 1, 19, 2889.500000, 4
3, 5, 74, 7, 1, 1, 16, 0, 16, 2779.500000, 5
4, 5, 81, 8, 1, 1, 11, 1, 10, 4212.500000, 6
4, 3, 76, 9, 1, 1, 6, 0, 5, 1968.000000, 3
4, 2, 88, 9, 1, 1, 6, 0, 5, 1968.500000, 2
4, 4, 112, 6, 1, 1, 9, 3, 8, 1333.000000, 1
4, 6, 136, 8, 1, 1, 12, 0, 11, 2779.000000, 4
4, 1, 96, 7, 1, 1, 15, 3, 16, 2922.000000, 5
5, 4, 71, 14, 1, 1, 58, 0, 58, 2688.000000, 4
5, 5, 74, 8, 1, 1, 47, 0, 47, 1856.500000, 3
5, 6, 92, 12, 0, 1, 28, 0, 28, 1352.500000, 1
5, 3, 75, 16, 1, 1, 61, 2, 61, 2922.000000, 5
5, 1, 89, 8, 1, 1, 60, 0, 60, 2154.000000, 2
5, 2, 89, 17, 1, 1, 81, 0, 81, 4028.500000, 6
6, 4, 104, 25, 0, 1, 31, 10, 31, 2688.000000, 4
6, 1, 119, 17, 0, 1, 42, 8, 41, 4434.500000, 6
6, 6, 80, 17, 0, 1, 17, 0, 17, 1878.500000, 3
6, 5, 71, 8, 1, 1, 12, 1, 12, 1359.500000, 1
6, 3, 75, 24, 1, 1, 21, 0, 21, 2922.000000, 5
6, 2, 112, 14, 1, 1, 26, 5, 26, 1968.500000, 2
7, 1, 136, 10, 1, 1, 30, 0, 30, 4434.500000, 6
7, 5, 110, 6, 1, 1, 8, 0, 8, 1856.500000, 3
7, 2, 89, 10, 1, 1, 13, 0, 13, 2630.000000, 5
7, 4, 94, 6, 1, 1, 9, 0, 9, 1993.500000, 2
7, 6, 122, 20, 0, 1, 15, 0, 15, 2779.000000, 4
7, 3, 77, 8, 1, 1, 8, 0, 8, 1486.500000, 1
8, 4, 77, 5, 1, 1, 21, 1, 21, 4146.000000, 6
8, 2, 71, 5, 1, 1, 9, 0, 9, 1968.500000, 2
8, 3, 64, 9, 1, 1, 13, 1, 13, 1968.000000, 3
8, 6, 89, 10, 1, 1, 20, 0, 20, 2841.000000, 5
8, 1, 66, 5, 1, 1, 19, 0, 19, 2889.500000, 4
8, 5, 68, 4, 1, 1, 11, 0, 10, 1359.500000, 1
9, 2, 146, 18, 1, 0, 20, 0, 20, 1968.500000, 2
9, 5, 125, 20, 1, 1, 16, 0, 16, 1856.500000, 3
9, 6, 166, 52, 1, 0, 13, 0, 12, 1352.500000, 1
9, 1, 155, 24, 0, 0, 22, 0, 22, 2922.000000, 5
9, 3, 121, 12, 1, 1, 25, 1, 25, 2889.500000, 4
9, 4, 147, 25, 0, 1, 31, 0, 31, 4146.000000, 6
10, 6, 80, 13, 1, 1, 37, 0, 37, 4196.500000, 6
10, 1, 74, 15, 0, 1, 29, 0, 29, 2154.000000, 2
10, 5, 52, 8, 1, 1, 14, 0, 13, 1359.500000, 1
10, 4, 69, 12, 1, 1, 33, 0, 33, 2837.500000, 5
10, 2, 62, 8, 1, 1, 25, 0, 25, 1741.000000, 3
10, 3, 74, 17, 1, 1, 40, 0, 40, 2889.500000, 4
11, 6, 125, 15, 1, 1, 14, 0, 14, 1352.500000, 1
11, 1, 96, 18, 1, 0, 22, 0, 21, 2922.000000, 5
11, 3, 76, 14, 1, 1, 22, 0, 22, 1968.000000, 3
11, 5, 101, 15, 0, 1, 38, 0, 38, 4212.500000, 6
11, 2, 80, 16, 1, 0, 20, 0, 20, 1968.500000, 2
11, 4, 104, 11, 1, 1, 28, 3, 28, 2688.000000, 4
12, 2, 119, 7, 1, 1, 50, 12, 51, 1288.500000, 1
12, 6, 105, 16, 0, 0, 72, 5, 72, 4196.500000, 6
12, 3, 84, 12, 0, 1, 68, 5, 68, 2889.500000, 4
12, 1, 139, 14, 0, 1, 67, 9, 67, 1910.500000, 3
12, 4, 103, 24, 0, 1, 43, 7, 43, 1993.500000, 2
12, 5, 111, 10, 1, 1, 50, 0, 50, 2779.500000, 5
13, 6, 129, 10, 1, 1, 53, 3, 53, 1878.500000, 3
13, 2, 117, 15, 1, 0, 59, 0, 57, 2630.000000, 5
13, 4, 103, 12, 1, 1, 61, 0, 60, 2688.000000, 4
13, 5, 96, 7, 1, 1, 60, 0, 60, 4212.500000, 6
13, 3, 88, 12, 1, 1, 32, 0, 32, 2154.000000, 2
13, 1, 109, 13, 0, 1, 24, 3, 23, 1368.000000, 1
14, 4, 102, 18, 1, 1, 20, 0, 20, 2688.000000, 4
14, 1, 145, 10, 1, 1, 13, 0, 13, 1910.500000, 3
14, 2, 146, 11, 1, 1, 36, 1, 36, 2630.000000, 5
14, 3, 88, 18, 1, 1, 22, 0, 22, 2154.000000, 2
14, 6, 172, 16, 1, 1, 36, 1, 36, 4196.500000, 6
14, 5, 117, 14, 1, 1, 10, 0, 10, 1359.500000, 1
15, 1, 73, 7, 1, 1, 29, 0, 29, 4434.500000, 6
15, 6, 52, 7, 1, 1, 24, 0, 24, 2841.000000, 5
15, 2, 59, 7, 1, 1, 22, 0, 22, 1968.500000, 2
15, 3, 54, 15, 0, 1, 15, 0, 15, 1486.500000, 1
15, 4, 74, 7, 1, 1, 25, 0, 25, 1805.000000, 3
15, 5, 52, 11, 1, 1, 67, 0, 67, 2751.500000, 4
16, 5, 89, 45, 1, 1, 40, 0, 40, 1359.500000, 1
16, 6, 130, 14, 0, 1, 50, 0, 50, 2841.000000, 5
16, 4, 109, 6, 1, 1, 39, 0, 39, 1993.500000, 2
16, 3, 82, 26, 1, 1, 33, 0, 33, 4527.000000, 6
16, 1, 110, 12, 1, 1, 22, 0, 22, 2889.500000, 4
16, 2, 105, 9, 1, 1, 21, 0, 21, 1741.000000, 3
17, 4, 94, 16, 1, 1, 28, 6, 27, 2837.500000, 5
17, 3, 78, 11, 1, 1, 52, 17, 51, 4527.000000, 6
17, 2, 87, 12, 1, 0, 18, 0, 18, 1288.500000, 1
17, 5, 66, 14, 0, 0, 22, 0, 22, 2027.000000, 2
17, 6, 97, 31, 1, 0, 29, 2, 29, 2779.000000, 4
17, 1, 119, 12, 0, 1, 29, 2, 29, 1910.500000, 3
18, 5, 97, 42, 0, 0, 19, 2, 19, 2027.000000, 2
18, 1, 80, 23, 0, 1, 22, 0, 22, 1910.500000, 3
18, 6, 100, 12, 1, 1, 51, 2, 51, 4196.500000, 6
18, 3, 136, 10, 1, 1, 24, 12, 24, 1486.500000, 1
18, 4, 115, 13, 1, 1, 20, 2, 20, 2688.000000, 4
18, 2, 145, 17, 1, 0, 42, 6, 42, 2630.000000, 5
19, 5, 75, 7, 1, 1, 23, 0, 23, 2779.500000, 5
19, 2, 77, 10, 1, 1, 28, 8, 27, 2609.500000, 4
19, 6, 74, 19, 0, 1, 27, 9, 27, 4196.500000, 6
19, 4, 78, 19, 0, 1, 41, 10, 37, 1993.500000, 2
19, 3, 81, 12, 0, 0, 27, 7, 25, 1486.500000, 1
19, 1, 100, 10, 0, 1, 27, 8, 27, 1910.500000, 3
20, 4, 167, 12, 1, 1, 62, 8, 62, 4146.000000, 6
20, 2, 195, 9, 1, 1, 34, 2, 33, 2630.000000, 5
20, 1, 205, 15, 1, 1, 28, 5, 27, 2154.000000, 2
20, 5, 176, 21, 1, 1, 28, 1, 27, 2751.500000, 4
20, 3, 142, 14, 1, 1, 31, 3, 30, 1968.000000, 3
20, 6, 213, 32, 0, 1, 22, 4, 22, 1352.500000, 1
21, 4, 41, 9, 1, 1, 11, 1, 11, 1333.000000, 1
21, 3, 63, 15, 1, 1, 15, 2, 14, 1968.000000, 3
21, 5, 65, 8, 1, 1, 40, 2, 39, 4212.500000, 6
21, 1, 65, 26, 1, 1, 26, 1, 26, 2922.000000, 5
21, 2, 54, 23, 1, 0, 20, 1, 19, 2609.500000, 4
21, 6, 38, 18, 0, 0, 13, 0, 13, 2018.000000, 2
22, 3, 110, 15, 1, 1, 26, 3, 26, 1486.500000, 1
22, 6, 163, 42, 1, 1, 27, 3, 27, 2018.000000, 2
22, 5, 119, 20, 1, 1, 19, 0, 19, 2779.500000, 5
22, 1, 138, 11, 1, 1, 26, 2, 26, 4434.500000, 6
22, 2, 116, 36, 1, 0, 22, 1, 22, 1741.000000, 3
22, 4, 133, 11, 1, 1, 28, 1, 28, 2688.000000, 4
23, 3, 90, 18, 1, 1, 16, 0, 16, 2922.000000, 5
23, 2, 114, 14, 1, 1, 10, 0, 10, 1288.500000, 1
23, 4, 94, 13, 1, 1, 14, 0, 14, 2688.000000, 4
23, 6, 111, 12, 1, 1, 23, 2, 23, 4196.500000, 6
23, 1, 144, 12, 0, 1, 16, 3, 14, 1910.500000, 3
23, 5, 91, 12, 1, 1, 11, 0, 11, 2027.000000, 2
24, 5, 114, 23, 1, 0, 9, 0, 8, 1359.500000, 1
24, 6, 163, 20, 1, 1, 20, 0, 20, 2841.000000, 5
24, 2, 126, 15, 1, 1, 17, 0, 17, 2609.500000, 4
24, 3, 102, 12, 1, 1, 30, 0, 29, 4527.000000, 6
24, 4, 113, 14, 1, 1, 15, 0, 15, 1993.500000, 2
24, 1, 121, 14, 1, 1, 14, 0, 14, 1910.500000, 3
25, 3, 63, 14, 1, 0, 24, 0, 23, 2922.000000, 5
25, 5, 107, 8, 1, 1, 13, 0, 12, 2027.000000, 2
25, 2, 109, 10, 1, 1, 28, 1, 27, 2609.500000, 4
25, 6, 83, 10, 1, 1, 7, 0, 7, 1352.500000, 1
25, 1, 86, 8, 1, 1, 61, 15, 61, 4434.500000, 6
25, 4, 63, 9, 1, 1, 14, 1, 13, 1805.000000, 3
26, 4, 60, 19, 0, 0, 21, 0, 21, 4146.000000, 6
26, 5, 53, 10, 0, 1, 15, 0, 15, 1856.500000, 3
26, 1, 45, 13, 0, 1, 10, 0, 10, 2154.000000, 2
26, 6, 61, 18, 1, 1, 13, 0, 13, 2779.000000, 4
26, 2, 56, 7, 0, 1, 17, 6, 16, 1288.500000, 1
26, 3, 32, 9, 0, 1, 21, 0, 21, 2922.000000, 5
27, 6, 86, 19, 1, 0, 46, 3, 45, 2018.000000, 2
27, 5, 78, 6, 1, 1, 26, 2, 23, 1856.500000, 3
27, 1, 109, 9, 1, 1, 33, 12, 31, 2889.500000, 4
27, 2, 74, 19, 1, 0, 37, 0, 35, 2630.000000, 5
27, 3, 63, 8, 1, 1, 40, 25, 37, 4527.000000, 6
27, 4, 78, 10, 1, 1, 25, 5, 24, 1333.000000, 1
28, 5, 74, 7, 1, 1, 25, 0, 24, 2751.500000, 4
28, 4, 58, 8, 1, 1, 15, 0, 14, 1805.000000, 3
28, 1, 74, 15, 0, 1, 26, 0, 25, 2922.000000, 5
28, 2, 69, 13, 1, 1, 11, 0, 10, 1288.500000, 1
28, 6, 101, 9, 1, 1, 36, 0, 36, 4196.500000, 6
28, 3, 60, 16, 0, 1, 20, 0, 19, 2154.000000, 2
29, 5, 79, 7, 1, 1, 16, 0, 16, 2751.500000, 4
29, 1, 103, 13, 1, 1, 24, 0, 24, 4434.500000, 6
29, 4, 92, 9, 1, 1, 15, 0, 15, 2837.500000, 5
29, 6, 112, 18, 1, 1, 10, 0, 10, 1352.500000, 1
29, 2, 86, 6, 1, 1, 13, 0, 12, 1741.000000, 3
29, 3, 95, 11, 0, 1, 11, 0, 10, 2154.000000, 2
30, 5, 72, 7, 1, 1, 20, 0, 20, 1359.500000, 1
30, 4, 101, 17, 1, 1, 26, 0, 26, 1993.500000, 2
30, 3, 132, 13, 0, 1, 81, 32, 80, 2922.000000, 5
30, 1, 132, 23, 1, 0, 50, 16, 49, 1910.500000, 3
30, 6, 93, 13, 1, 1, 36, 11, 36, 2779.000000, 4
30, 2, 108, 9, 1, 1, 69, 25, 68, 4028.500000, 6
31, 3, 94, 13, 0, 1, 13, 0, 13, 2154.000000, 2
31, 5, 70, 12, 1, 1, 17, 0, 17, 1359.500000, 1
31, 2, 79, 15, 1, 0, 17, 0, 17, 1741.000000, 3
31, 1, 106, 12, 0, 1, 22, 0, 22, 2889.500000, 4
31, 6, 124, 15, 1, 0, 35, 0, 35, 4196.500000, 6
31, 4, 111, 27, 1, 0, 39, 7, 39, 2837.500000, 5
32, 5, 131, 17, 1, 1, 9, 0, 8, 1359.500000, 1
32, 2, 147, 28, 0, 1, 26, 0, 25, 4028.500000, 6
32, 1, 170, 19, 1, 1, 14, 0, 14, 2922.000000, 5
32, 4, 167, 44, 1, 1, 15, 2, 15, 2688.000000, 4
32, 6, 198, 34, 1, 0, 9, 0, 9, 1878.500000, 3
32, 3, 115, 51, 1, 0, 12, 0, 12, 2154.000000, 2
33, 6, 145, 30, 0, 1, 43, 1, 44, 2018.000000, 2
33, 1, 201, 39, 0, 1, 28, 0, 28, 1368.000000, 1
33, 4, 215, 49, 1, 1, 96, 10, 96, 4146.000000, 6
33, 3, 120, 30, 1, 1, 63, 0, 63, 2922.000000, 5
33, 2, 152, 78, 1, 0, 39, 0, 39, 1741.000000, 3
33, 5, 132, 15, 1, 1, 43, 2, 43, 2751.500000, 4
34, 2, 135, 29, 1, 0, 11, 0, 10, 2609.500000, 4
34, 3, 117, 22, 0, 0, 19, 0, 18, 4527.000000, 6
34, 4, 130, 11, 1, 1, 11, 1, 11, 1993.500000, 2
34, 6, 118, 13, 1, 1, 6, 0, 5, 1352.500000, 1
34, 5, 92, 8, 1, 1, 13, 0, 12, 2779.500000, 5
34, 1, 143, 16, 0, 1, 10, 2, 9, 1910.500000, 3
35, 6, 110, 15, 0, 1, 9, 0, 9, 1352.500000, 1
35, 2, 113, 20, 1, 1, 13, 0, 12, 2609.500000, 4
35, 4, 106, 18, 1, 1, 21, 5, 20, 1993.500000, 2
35, 5, 99, 19, 1, 1, 24, 0, 23, 4212.500000, 6
35, 3, 80, 12, 1, 1, 19, 4, 18, 2922.000000, 5
35, 1, 83, 15, 0, 1, 12, 0, 12, 1910.500000, 3
36, 3, 42, 24, 1, 0, 8, 0, 8, 1486.500000, 1
36, 6, 62, 12, 1, 1, 19, 0, 19, 2841.000000, 5
36, 1, 71, 7, 1, 1, 35, 4, 34, 4434.500000, 6
36, 4, 46, 5, 1, 1, 16, 0, 15, 1805.000000, 3
36, 2, 48, 8, 1, 1, 18, 0, 17, 1968.500000, 2
36, 5, 58, 4, 1, 1, 20, 0, 20, 2751.500000, 4
37, 5, 123, 13, 1, 1, 39, 0, 39, 2027.000000, 2
37, 6, 132, 27, 1, 1, 33, 1, 33, 1878.500000, 3
37, 3, 107, 19, 0, 1, 59, 24, 56, 4527.000000, 6
37, 1, 131, 34, 1, 1, 45, 0, 45, 2922.000000, 5
37, 2, 123, 23, 1, 1, 38, 1, 38, 2609.500000, 4
37, 4, 106, 14, 1, 1, 25, 8, 25, 1333.000000, 1
38, 3, 123, 12, 0, 1, 26, 0, 26, 1968.000000, 3
38, 2, 121, 19, 1, 1, 21, 0, 21, 1288.500000, 1
38, 4, 136, 19, 1, 1, 52, 1, 52, 4146.000000, 6
38, 5, 123, 10, 1, 1, 46, 1, 46, 2779.500000, 5
38, 1, 105, 28, 1, 1, 30, 0, 30, 2154.000000, 2
38, 6, 169, 21, 0, 1, 42, 0, 42, 2779.000000, 4
39, 3, 67, 20, 1, 1, 24, 0, 23, 2889.500000, 4
39, 1, 104, 9, 1, 1, 45, 1, 44, 4434.500000, 6
39, 4, 94, 9, 1, 1, 32, 5, 32, 2837.500000, 5
39, 6, 113, 9, 1, 1, 21, 0, 21, 2018.000000, 2
39, 2, 77, 13, 1, 1, 19, 1, 19, 1741.000000, 3
39, 5, 69, 9, 1, 1, 15, 0, 14, 1359.500000, 1
