UserID, Gender, Age, Education, Reading_FQ
1, 1, 24, 硕士, 2
2, 1, 24, 硕士, 3
3, 0, 23, 硕士, 1
4, 1, 24, 硕士, 1
5, 1, 26, 硕士, 1
6, 1, 26, 本科, 2
7, 1, 24, 硕士, 2
8, 1, 24, 硕士, 2
9, 1, 24, 硕士, 3
10, 1, 24, 本科, 3
11, 0, 22, 硕士, 1
12, 1, 23, 硕士, 2
13, 1, 23, 本科, 1
14, 1, 23, 博士及以上, 2
15, 1, 26, 博士及以上, 0
16, 1, 22, 本科, 2
17, 1, 23, 硕士, 2
18, 1, 24, 硕士, 2
19, 0, 22, 本科, 2
20, 1, 26, 硕士, 1
21, 1, 21, 本科, 1
22, 1, 22, 本科, 1
23, 1, 24, 博士及以上, 1
24, 1, 25, 博士及以上, 2
25, 1, 29, 博士及以上, 1
26, 0, 31, 本科, 3
27, 1, 21, 本科, 1
28, 1, 22, 本科, 3
29, 0, 23, 博士及以上, 1
30, 0, 21, 本科, 2
31, 1, 27, 博士及以上, 1
32, 1, 24, 硕士, 1
33, 1, 25, 硕士, 2
34, 1, 24, 博士及以上, 1
35, 1, 28, 博士及以上, 1
36, 1, 22, 本科, 3
37, 1, 21, 本科, 3
38, 1, 21, 本科, 1
39, 1, 22, 本科, 1
40, 0, 21, 本科, 2
41, 1, 22, 硕士, 3
42, 1, 22, 硕士, 2
43, 1, 24, 硕士, 2
44, 0, 22, 硕士, 1
45, 0, 23, 硕士, 2
46, 1, 20, 本科, 2
47, 1, 21, 本科, 1
48, 1, 21, 本科, 2
49, 0, 19, 本科, 2
