UserID, TextID, EndType, BeginTime, EndTime, DeltaTime, BeginPointInView_x, BeginPointInView_y, BeginPointInScroll_x, BeginPointInScroll_y, EndPointInView_x, EndPointInView_y, EndPointInScroll_x, EndPointInScroll_y, BeginOffset_y, EndOffset_y, DeltaOffset_y
1, 3, 1, 13.929204, 16.528266, 2.599062, 255.500000, 501.500000, 255.500000, 501.500000, 275.500000, 391.500000, 275.500000, 502.500000, 0.000000, 111.000000, 111.000000
1, 3, 1, 27.795296, 30.145852, 2.350556, 256.000000, 480.000000, 256.000000, 591.000000, 289.500000, 337.500000, 289.500000, 591.500000, 111.000000, 254.000000, 143.000000
1, 3, 1, 35.130092, 39.397494, 4.267402, 249.500000, 488.500000, 249.500000, 742.500000, 278.500000, 300.000000, 278.500000, 742.500000, 254.000000, 442.500000, 188.500000
1, 3, 1, 47.130970, 49.847177, 2.716207, 267.000000, 466.000000, 267.000000, 908.500000, 294.000000, 340.000000, 294.000000, 909.000000, 442.500000, 569.000000, 126.500000
1, 3, 1, 65.649393, 68.214201, 2.564808, 281.500000, 471.500000, 281.500000, 1040.500000, 306.500000, 306.500000, 306.500000, 1040.500000, 569.000000, 734.000000, 165.000000
1, 3, 1, 80.533634, 83.600331, 3.066697, 264.500000, 476.500000, 264.500000, 1210.500000, 312.000000, 319.500000, 312.000000, 1210.500000, 734.000000, 891.000000, 157.000000
1, 3, 1, 90.449948, 92.634181, 2.184233, 261.000000, 496.000000, 261.000000, 1387.000000, 277.000000, 363.500000, 277.000000, 1387.000000, 891.000000, 1023.500000, 132.500000
1, 3, 1, 103.436283, 107.202396, 3.766113, 265.000000, 490.000000, 265.000000, 1513.500000, 318.000000, 241.000000, 318.000000, 1514.500000, 1023.500000, 1273.500000, 250.000000
1, 3, 1, 114.120161, 118.803096, 4.682935, 229.500000, 490.500000, 229.500000, 1764.000000, 289.000000, 324.500000, 289.000000, 1764.000000, 1273.500000, 1439.500000, 166.000000
1, 3, 1, 128.404812, 131.320823, 2.916011, 213.000000, 483.500000, 213.000000, 1923.000000, 259.500000, 302.500000, 259.500000, 1923.500000, 1439.500000, 1621.000000, 181.500000
1, 3, 1, 141.956126, 144.538959, 2.582833, 207.500000, 494.000000, 207.500000, 2115.000000, 291.000000, 262.500000, 291.000000, 2116.500000, 1621.000000, 1854.000000, 233.000000
1, 3, 1, 148.624016, 151.989379, 3.365363, 214.500000, 499.500000, 214.500000, 2353.500000, 278.500000, 295.500000, 278.500000, 2354.500000, 1854.000000, 2059.000000, 205.000000
1, 3, 1, 160.840921, 163.923928, 3.083007, 204.000000, 494.000000, 204.000000, 2553.000000, 259.500000, 338.500000, 259.500000, 2553.000000, 2059.000000, 2214.500000, 155.500000
1, 3, 1, 169.124783, 172.024164, 2.899381, 250.000000, 490.500000, 250.000000, 2705.000000, 298.500000, 310.000000, 298.500000, 2705.500000, 2214.500000, 2395.500000, 181.000000
1, 3, 1, 181.692562, 184.575441, 2.882879, 236.500000, 459.000000, 236.500000, 2854.500000, 287.000000, 321.000000, 287.000000, 2855.500000, 2395.500000, 2534.500000, 139.000000
1, 3, 1, 186.809017, 188.459233, 1.650216, 209.500000, 496.500000, 209.500000, 3031.000000, 304.500000, 272.000000, 304.500000, 3031.500000, 2534.500000, 2759.500000, 225.000000
1, 2, 1, 20.987736, 24.737594, 3.749858, 276.000000, 517.000000, 276.000000, 517.000000, 310.500000, 321.500000, 310.500000, 517.500000, 0.000000, 196.000000, 196.000000
1, 2, 1, 49.806852, 54.507613, 4.700761, 278.000000, 491.000000, 278.000000, 687.000000, 311.500000, 281.000000, 311.500000, 687.000000, 196.000000, 406.000000, 210.000000
1, 2, 1, 71.925286, 75.541924, 3.616638, 291.000000, 496.000000, 291.000000, 902.000000, 318.000000, 345.500000, 318.000000, 902.500000, 406.000000, 557.000000, 151.000000
1, 2, 1, 86.193268, 89.358028, 3.164760, 273.000000, 482.500000, 273.000000, 1039.500000, 292.000000, 353.000000, 292.000000, 1040.000000, 557.000000, 687.000000, 130.000000
1, 2, 1, 107.377081, 110.594432, 3.217351, 264.500000, 472.500000, 264.500000, 1159.500000, 283.500000, 309.000000, 283.500000, 1159.500000, 687.000000, 850.500000, 163.500000
1, 2, 1, 120.379273, 122.445647, 2.066374, 263.500000, 493.000000, 263.500000, 1343.500000, 273.500000, 420.500000, 273.500000, 1343.500000, 850.500000, 923.000000, 72.500000
