UserID, TextID, ReadingTime, AnswerTime, TrueOrFalse_1, TrueOrFalse_2, TrueOrFalse_3, TrueOrFalse_4, TrueOrFalse_5, NumberOfTouch, NumberOfRecall, NumberOfRecord, TextViewHeight, FontSize
1, 3, 189, 19, 1, 1, 1, 1, 0, 16, 0, 16, 2927.000000, 21.000000
1, 2, 159, 17, 1, 1, 1, 1, 1, 8, 0, 8, 1392.000000, 14.000000
1, 4, 157, 20, 0, 1, 1, 1, 1, 32, 0, 31, 4163.500000, 26.000000
1, 5, 182, 21, 1, 1, 1, 1, 1, 17, 0, 17, 1991.500000, 17.000000
1, 1, 158, 16, 1, 1, 0, 1, 1, 7, 0, 7, 959.000000, 11.000000
2, 9, 49, 30, 0, 0, 1, 1, 0, 22, 4, 22, 1976.500000, 17.000000
2, 7, 65, 22, 0, 0, 1, 0, 0, 33, 14, 33, 1635.500000, 14.000000
2, 6, 90, 18, 1, 1, 1, 1, 1, 30, 8, 28, 978.500000, 11.000000
2, 8, 71, 22, 0, 0, 1, 1, 0, 56, 18, 56, 3002.500000, 21.000000
2, 10, 100, 18, 0, 1, 0, 1, 1, 89, 35, 87, 4420.000000, 26.000000
3, 4, 199, 32, 0, 0, 1, 1, 1, 6, 0, 5, 1814.000000, 17.000000
3, 5, 228, 29, 1, 0, 1, 0, 1, 5, 0, 4, 935.000000, 11.000000
3, 3, 205, 21, 1, 1, 1, 0, 1, 23, 1, 23, 4280.000000, 26.000000
3, 2, 185, 20, 1, 1, 1, 0, 1, 24, 3, 24, 3115.000000, 21.000000
3, 1, 186, 19, 1, 1, 1, 1, 1, 7, 0, 6, 1358.500000, 14.000000
4, 9, 138, 25, 1, 1, 1, 0, 1, 30, 0, 29, 3065.000000, 21.000000
4, 8, 181, 33, 0, 1, 1, 1, 0, 35, 1, 34, 1976.500000, 17.000000
4, 6, 165, 36, 1, 0, 1, 1, 1, 62, 0, 61, 4303.500000, 26.000000
4, 10, 170, 50, 1, 1, 1, 1, 0, 15, 0, 14, 961.500000, 11.000000
4, 7, 170, 31, 0, 1, 1, 1, 1, 26, 0, 25, 1635.500000, 14.000000
5, 4, 155, 16, 1, 1, 0, 1, 1, 47, 0, 47, 1246.000000, 14.000000
5, 1, 141, 18, 1, 1, 1, 1, 1, 82, 0, 82, 2027.000000, 17.000000
5, 5, 151, 21, 1, 1, 0, 0, 1, 75, 0, 75, 4396.500000, 26.000000
5, 2, 128, 19, 1, 1, 0, 0, 1, 66, 0, 65, 3115.000000, 21.000000
5, 3, 123, 18, 1, 0, 0, 1, 1, 14, 0, 14, 901.000000, 11.000000
6, 4, 199, 15, 1, 1, 1, 0, 1, 19, 0, 19, 1246.000000, 14.000000
6, 1, 239, 26, 1, 1, 0, 0, 1, 26, 3, 25, 2027.000000, 17.000000
6, 5, 250, 24, 1, 1, 1, 1, 0, 58, 8, 57, 4396.500000, 26.000000
6, 2, 271, 15, 0, 1, 0, 0, 1, 39, 2, 39, 3115.000000, 21.000000
6, 3, 241, 22, 1, 1, 1, 0, 0, 14, 2, 13, 901.000000, 11.000000
7, 1, 144, 11, 1, 1, 1, 1, 1, 47, 9, 47, 4412.000000, 26.000000
7, 3, 124, 13, 1, 1, 1, 0, 1, 17, 4, 17, 1308.500000, 14.000000
7, 5, 144, 19, 1, 1, 1, 1, 1, 15, 3, 15, 935.000000, 11.000000
7, 4, 124, 16, 1, 0, 1, 0, 1, 22, 1, 22, 2832.500000, 21.000000
7, 2, 128, 13, 1, 1, 1, 1, 1, 23, 2, 23, 1966.000000, 17.000000
8, 10, 114, 15, 1, 1, 1, 1, 1, 34, 5, 33, 1405.000000, 14.000000
8, 8, 104, 26, 1, 1, 1, 1, 0, 34, 3, 33, 1976.500000, 17.000000
8, 9, 99, 29, 1, 1, 0, 1, 1, 60, 7, 59, 4528.500000, 26.000000
8, 7, 102, 18, 1, 1, 1, 1, 1, 46, 5, 46, 3385.500000, 21.000000
8, 6, 101, 19, 0, 1, 1, 0, 1, 39, 14, 37, 978.500000, 11.000000
9, 1, 107, 18, 1, 1, 1, 1, 1, 32, 0, 32, 3002.000000, 21.000000
9, 5, 97, 21, 0, 1, 1, 0, 0, 9, 0, 9, 935.000000, 11.000000
9, 2, 129, 17, 1, 1, 1, 0, 0, 20, 1, 20, 1392.000000, 14.000000
9, 4, 179, 16, 1, 1, 0, 1, 1, 25, 2, 25, 1814.000000, 17.000000
